,band_name,baseline_x,baseline_y,baseline_z,pad
256,alma/f243,30.35174917,-773.9188068,-3.336231664,A049
257,alma/f243,-15.04639784,-764.3348031,-2.335016467,A050
258,alma/f324,-33.89412596,-712.7516484,-2.330089496,A001
259,alma/f324,-17.45390887,-709.6086972,-2.32867142,A002
260,alma/f324,-22.5589292,-691.9838607,-2.323742384,A003
261,alma/f324,-5.421013146,-723.7911045,-2.334250518,A004
262,alma/f324,25.24593899,-744.4318445,-2.336684256,A005
263,alma/f324,20.94634824,-721.464646,-2.333017829,A006
264,alma/f324,15.93453511,-700.6757482,-2.32967552,A007
265,alma/f324,9.482335836,-687.0764746,-2.729176727,A008
266,alma/f324,-9.835100334,-663.8265957,-2.722704263,A009
267,alma/f324,-20.89371519,-653.559982,-2.43766594,A010
268,alma/f324,37.82617818,-735.8760818,-2.484749162,A011
269,alma/f324,0.965953711,-702.6549839,-2.325874408,A013
270,alma/f324,10.73987943,-659.5673638,-2.726261907,A015
271,alma/f324,-20.62042134,-633.9073418,-2.527672839,A016
272,alma/f324,-6.712372688,-684.9519378,-2.3269437,A017
273,alma/f324,-41.23929872,-725.9777278,-2.33663097,A018
274,alma/f324,-50.30411069,-711.209498,-2.332024766,A019
275,alma/f324,-43.64407228,-652.7424613,-2.322696805,A022
276,alma/f324,-59.4042934,-667.5717395,-2.130365568,A023
277,alma/f324,-74.47461587,-684.6574595,-2.129342649,A024
278,alma/f324,-84.5230042,-704.8937799,-1.937681767,A025
279,alma/f324,-86.87286754,-732.2620426,-1.928810218,A026
280,alma/f324,-93.14292454,-745.9594809,-1.941492838,A027
281,alma/f324,-57.04992893,-645.4388456,-2.129055948,A028
282,alma/f324,-68.48107366,-698.470785,-2.334779889,A030
283,alma/f324,-95.8997254,-694.8901111,-1.927739915,A031
284,alma/f324,-105.4387377,-755.003357,-1.640752815,A033
285,alma/f324,-76.90232093,-718.1727584,-1.929073338,A034
286,alma/f324,-26.04186157,-726.1888088,-2.332575051,A035
287,alma/f324,-15.39951252,-746.3592279,-2.331879161,A036
288,alma/f324,-80.49715673,-765.1118313,-1.942599619,A038
289,alma/f324,-64.18907113,-771.1494896,-1.940145207,A039
290,alma/f324,-42.33954858,-777.8607093,-2.339781511,A040
291,alma/f324,-23.09339256,-778.6079363,-2.340774491,A041
292,alma/f324,2.382622676,-763.2855572,-2.838872989,A042
293,alma/f324,17.1053716,-766.5338029,-2.842286715,A043
294,alma/f324,-80.06703001,-780.3740238,-1.336451415,A044
295,alma/f324,-63.50521219,-786.8199568,-1.341060659,A045
296,alma/f324,-36.66707354,-762.1662821,-2.339843364,A046
297,alma/f324,-19.65399721,-794.5952314,-2.338743316,A047
298,alma/f324,-1.523355241,-788.9452581,-2.8370088,A048
