0,xi,eta
533,-4.1e-05,-0.011649
534,-0.000298,-0.012807
535,-0.000516,-0.01397
536,-0.000308,-0.014136
537,-0.000935,-0.016165
538,-0.001255,-0.017338
539,-0.001438,-0.018491
540,-0.001705,-0.019479
541,4.4e-05,-3e-06
542,0.000897,-0.001374
543,0.000651,-0.002453
544,0.000444,-0.003612
545,0.000231,-0.004673
546,0.000125,-0.005481
547,-0.00016,-0.006963
548,-0.000326,-0.008127
549,-0.000589,-0.009238
550,-0.000809,-0.01041
551,-0.001112,-0.011442
552,-0.001357,-0.012615
553,-0.001587,-0.013754
554,-0.001369,-0.01395
555,-0.002042,-0.015916
556,-0.002277,-0.017122
557,-0.002545,-0.018239
558,-0.002114,-0.018183
559,0.000278,0.000278
560,-0.000172,-0.001089
561,-0.000363,-0.002219
562,-0.000559,-0.003344
563,-0.000791,-0.004458
564,-0.000933,-0.005294
565,-0.0012,-0.006701
566,-0.001344,-0.007865
567,-0.001494,-0.008469
568,-0.00183,-0.010185
569,-0.002076,-0.011273
570,-0.002393,-0.012399
571,-0.002626,-0.013507
572,-0.002428,-0.013764
573,-0.003047,-0.015643
574,-0.00327,-0.016793
575,-0.002986,-0.016939
576,-0.003172,-0.017997
577,-0.004333,0.001078
578,-0.004501,-6e-06
579,-0.004673,-0.001094
580,-0.004896,-0.002245
581,-0.005116,-0.003326
582,-0.005338,-0.004545
583,-0.005529,-0.005669
584,-0.005661,-0.006644
585,-0.005905,-0.007866
586,-0.006161,-0.009019
587,-0.00643,-0.010214
588,-0.006672,-0.011289
589,-0.006961,-0.012557
590,-0.006781,-0.012994
591,-0.007409,-0.014661
592,-0.007661,-0.015736
593,-0.007844,-0.016864
594,-0.00797,-0.017944
595,-0.005411,0.000956
596,-0.00653,0.00041
597,-0.006764,-0.000648
598,-0.006931,-0.00178
599,-0.007114,-0.002907
600,-0.007328,-0.004081
601,-0.007524,-0.005223
602,-0.006719,-0.006456
603,-0.00792,-0.007495
604,-0.00817,-0.00867
605,-0.008417,-0.009821
606,-0.008696,-0.010907
607,-0.008944,-0.012094
608,-0.007839,-0.012808
609,-0.00943,-0.014271
610,-0.009643,-0.015395
611,-0.009742,-0.016558
612,-0.009959,-0.017637
613,-0.006469,0.001142
614,-0.006888,0.000487
615,-0.007036,-0.000598
616,-0.007135,-0.001752
617,-0.007456,-0.002828
618,-0.007633,-0.004001
619,-0.007791,-0.005144
620,-0.007778,-0.006269
621,-0.008129,-0.007454
622,-0.008458,-0.008619
623,-0.008724,-0.009754
624,-0.009028,-0.010835
625,-0.009149,-0.012059
626,-0.008897,-0.012622
627,-0.010005,-0.014188
628,-0.00988,-0.015351
629,-0.009458,-0.015797
630,-0.010446,-0.017505
631,-0.007531,0.001328
632,-0.007832,0.000693
633,-0.008058,-0.000433
634,-0.008327,-0.001493
635,-0.008466,-0.002624
636,-0.008772,-0.003792
637,-0.008902,-0.004919
638,-0.008836,-0.006083
639,-0.009338,-0.007212
640,-0.009606,-0.008395
641,-0.009885,-0.009486
642,-0.010028,-0.010611
643,-0.010244,-0.011853
644,-0.009956,-0.012436
645,-0.011035,-0.013979
646,-0.010803,-0.015146
647,-0.010517,-0.015611
648,-0.011247,-0.01734
649,-0.008589,0.001514
650,-0.008655,0.000876
651,-0.008877,-0.00025
652,-0.009094,-0.001368
653,-0.009308,-0.002477
654,-0.009508,-0.003621
655,-0.009682,-0.004715
656,-0.009894,-0.005897
657,-0.010139,-0.007075
658,-0.010453,-0.008256
659,-0.01062,-0.009394
660,-0.01091,-0.010481
661,-0.011111,-0.011656
662,-0.011014,-0.012247
663,-0.011563,-0.013861
664,-0.011801,-0.014917
665,-0.011575,-0.015425
666,-0.012115,-0.017125
667,-0.009647,0.0017
668,-0.009833,0.000642
669,-0.010986,0.000176
670,-0.011204,-0.000881
671,-0.01138,-0.001978
672,-0.011522,-0.003175
673,-0.011745,-0.004323
674,-0.010953,-0.005711
675,-0.012286,-0.006655
676,-0.012497,-0.007785
677,-0.012721,-0.008941
678,-0.012881,-0.010001
679,-0.013136,-0.011222
680,-0.012072,-0.012061
681,-0.013535,-0.013426
682,-0.013736,-0.01447
683,-0.014039,-0.015268
684,-0.012819,-0.016297
685,-0.010706,0.001889
686,-0.010892,0.000828
687,-0.011078,-0.000231
688,-0.011362,-0.000848
689,-0.011547,-0.001939
690,-0.011841,-0.003105
691,-0.01192,-0.004287
692,-0.012011,-0.005522
693,-0.012478,-0.006594
694,-0.012675,-0.007745
695,-0.012912,-0.008871
696,-0.013019,-0.009952
697,-0.013432,-0.011143
698,-0.013133,-0.011875
